id_transaction,id_date,id_hour,id_product,id_store,pos_transaction,id_promotion,sales_quantity,regular_unit_price,cost_unit_price,discount_unit_price,net_unit_price,extended_discount_price,extended_net_price,extended_cost_price,extended_gross_profit
31,20250326,18,60,17,31,1,1,429.0,283.14,0.0,429.0,0.0,429.0,283.14,145.86
32,20251127,16,29,3,32,1,1,424.0,233.20000000000002,0.0,424.0,0.0,424.0,233.20000000000002,190.79999999999998
33,20251102,20,93,11,33,1,1,676.0,263.64,0.0,676.0,0.0,676.0,263.64,412.36
34,20250820,21,97,17,34,1,1,598.0,316.94,0.0,598.0,0.0,598.0,316.94,281.06
35,20251105,17,34,14,35,1,2,554.0,282.54,0.0,554.0,0.0,1108.0,565.08,542.92
36,20250210,20,30,7,36,1,1,716.0,358.0,0.0,716.0,0.0,716.0,358.0,358.0
37,20250617,11,75,16,37,5,1,677.0,406.2,50.0,627.0,50.0,627.0,406.2,220.8
39,20250414,14,77,12,39,1,1,691.0,407.69,0.0,691.0,0.0,691.0,407.69,283.31
40,20251108,20,8,10,40,1,2,732.0,497.76000000000005,0.0,732.0,0.0,1464.0,995.5200000000001,468.4799999999999
41,20251221,18,54,10,41,1,1,506.0,247.94,0.0,506.0,0.0,506.0,247.94,258.06
42,20250917,18,63,2,42,1,1,418.0,246.61999999999998,0.0,418.0,0.0,418.0,246.61999999999998,171.38000000000002
43,20250920,15,22,19,43,1,1,376.0,285.76,0.0,376.0,0.0,376.0,285.76,90.24000000000001
44,20250307,17,74,2,44,1,1,621.0,378.81,0.0,621.0,0.0,621.0,378.81,242.19
45,20250817,20,5,3,45,1,2,548.0,274.0,0.0,548.0,0.0,1096.0,548.0,548.0
46,20250831,12,71,3,46,1,2,274.0,180.84,0.0,274.0,0.0,548.0,361.68,186.32
47,20251007,13,75,19,47,1,1,504.0,221.76,0.0,504.0,0.0,504.0,221.76,282.24
48,20250214,11,4,13,48,1,1,388.0,248.32,0.0,388.0,0.0,388.0,248.32,139.68
49,20251205,17,21,4,49,1,1,431.0,267.21999999999997,0.0,431.0,0.0,431.0,267.21999999999997,163.78000000000003
50,20250828,19,49,3,50,1,1,518.0,388.5,0.0,518.0,0.0,518.0,388.5,129.5
51,20251226,17,76,14,51,1,1,325.0,211.25,0.0,325.0,0.0,325.0,211.25,113.75
52,20250222,16,72,19,52,1,1,480.0,331.2,0.0,480.0,0.0,480.0,331.2,148.8
53,20250129,17,16,5,53,1,1,533.0,287.82,0.0,533.0,0.0,533.0,287.82,245.18
54,20251128,14,93,11,54,1,2,383.0,279.59,0.0,383.0,0.0,766.0,559.18,206.82000000000005
55,20250329,20,67,2,55,2,2,553.0,331.8,276.5,276.5,553.0,553.0,663.6,-110.60000000000002
57,20251128,14,92,20,57,1,1,551.0,352.64,0.0,551.0,0.0,551.0,352.64,198.36
58,20251016,15,10,9,58,1,1,444.0,257.52,0.0,444.0,0.0,444.0,257.52,186.48000000000002
59,20250510,19,87,18,59,3,2,355.0,248.49999999999997,177.5,177.5,355.0,355.0,496.99999999999994,-141.99999999999994
60,20250824,15,55,9,60,1,1,449.0,255.92999999999998,0.0,449.0,0.0,449.0,255.92999999999998,193.07000000000002
61,20250831,20,79,14,61,1,1,319.0,191.4,0.0,319.0,0.0,319.0,191.4,127.6
62,20250211,15,9,17,62,1,1,338.0,182.52,0.0,338.0,0.0,338.0,182.52,155.48
63,20250322,16,21,13,63,1,1,279.0,167.4,0.0,279.0,0.0,279.0,167.4,111.6
64,20250220,12,50,13,64,1,1,269.0,209.82,0.0,269.0,0.0,269.0,209.82,59.18000000000001
65,20251114,20,21,14,65,1,1,405.0,178.2,0.0,405.0,0.0,405.0,178.2,226.8
66,20250531,19,67,4,66,1,1,577.0,334.65999999999997,0.0,577.0,0.0,577.0,334.65999999999997,242.34000000000003
67,20250814,17,80,9,67,1,1,650.0,429.0,0.0,650.0,0.0,650.0,429.0,221.0
68,20250328,13,3,20,68,1,1,483.0,299.46,0.0,483.0,0.0,483.0,299.46,183.54000000000002
69,20251001,17,24,4,69,1,1,576.0,322.56000000000006,0.0,576.0,0.0,576.0,322.56000000000006,253.43999999999994
70,20251212,16,21,19,70,1,1,367.0,267.90999999999997,0.0,367.0,0.0,367.0,267.90999999999997,99.09000000000003
71,20251212,19,60,2,71,1,1,345.0,196.64999999999998,0.0,345.0,0.0,345.0,196.64999999999998,148.35000000000002
72,20250116,20,46,17,72,1,1,296.0,174.64,0.0,296.0,0.0,296.0,174.64,121.36000000000001
73,20250331,18,1,5,73,2,2,283.0,200.92999999999998,141.5,141.5,283.0,283.0,401.85999999999996,-118.85999999999996
74,20250429,15,64,19,74,1,1,553.0,232.26,0.0,553.0,0.0,553.0,232.26,320.74
75,20251122,11,19,20,75,1,1,550.0,363.0,0.0,550.0,0.0,550.0,363.0,187.0
76,20250917,20,10,10,76,1,1,232.0,106.72,0.0,232.0,0.0,232.0,106.72,125.28
77,20251011,20,74,7,77,1,1,521.0,276.13,0.0,521.0,0.0,521.0,276.13,244.87
78,20251206,14,5,9,78,1,1,286.0,177.32,0.0,286.0,0.0,286.0,177.32,108.68
79,20251225,17,88,9,79,1,1,602.0,445.48,0.0,602.0,0.0,602.0,445.48,156.51999999999998
80,20250128,17,11,4,80,1,1,428.0,321.0,0.0,428.0,0.0,428.0,321.0,107.0
81,20251121,21,34,14,81,1,1,690.0,379.50000000000006,0.0,690.0,0.0,690.0,379.50000000000006,310.49999999999994
82,20251125,11,3,3,82,1,1,519.0,384.06,0.0,519.0,0.0,519.0,384.06,134.94
83,20250422,12,90,14,83,1,1,491.0,328.97,0.0,491.0,0.0,491.0,328.97,162.02999999999997
84,20251206,19,16,5,84,1,1,376.0,233.12,0.0,376.0,0.0,376.0,233.12,142.88
85,20250215,17,74,17,85,1,1,250.0,197.5,0.0,250.0,0.0,250.0,197.5,52.5
86,20250615,17,55,3,86,1,1,390.0,273.0,0.0,390.0,0.0,390.0,273.0,117.0
87,20251018,19,56,4,87,1,1,481.0,269.36,0.0,481.0,0.0,481.0,269.36,211.64
88,20250114,17,71,10,88,1,1,471.0,310.86,0.0,471.0,0.0,471.0,310.86,160.14
89,20250323,18,3,17,89,1,1,574.0,275.52,0.0,574.0,0.0,574.0,275.52,298.48
90,20250819,15,21,9,90,3,2,727.0,327.15000000000003,363.5,363.5,727.0,727.0,654.3000000000001,72.69999999999993
91,20250331,12,53,2,91,1,1,444.0,328.56,0.0,444.0,0.0,444.0,328.56,115.44
92,20250629,11,46,12,92,1,1,517.0,398.09000000000003,0.0,517.0,0.0,517.0,398.09000000000003,118.90999999999997
93,20250618,15,20,5,93,1,1,504.0,287.28,0.0,504.0,0.0,504.0,287.28,216.72000000000003
94,20251018,18,35,12,94,1,1,394.0,204.88,0.0,394.0,0.0,394.0,204.88,189.12
95,20250817,16,96,4,95,2,2,397.0,190.56,198.5,198.5,397.0,397.0,381.12,15.879999999999995
96,20250418,15,93,4,96,1,1,406.0,272.02000000000004,0.0,406.0,0.0,406.0,272.02000000000004,133.97999999999996
97,20250503,18,8,20,97,2,2,121.0,79.86,60.5,60.5,121.0,121.0,159.72,-38.72
98,20250609,18,35,12,98,1,1,509.0,351.21,0.0,509.0,0.0,509.0,351.21,157.79000000000002
99,20251106,17,10,17,99,1,1,386.0,285.64,0.0,386.0,0.0,386.0,285.64,100.36000000000001
100,20250610,15,90,4,100,1,1,563.0,416.62,0.0,563.0,0.0,563.0,416.62,146.38
101,20250203,19,64,6,101,6,2,459.0,261.63,50.0,409.0,100.0,818.0,523.26,294.74
102,20250424,19,32,11,102,1,1,646.0,316.54,0.0,646.0,0.0,646.0,316.54,329.46
103,20251016,20,66,9,103,1,1,769.0,522.9200000000001,0.0,769.0,0.0,769.0,522.9200000000001,246.07999999999993
104,20251011,20,24,1,104,1,1,458.0,302.28000000000003,0.0,458.0,0.0,458.0,302.28000000000003,155.71999999999997
105,20251222,11,84,10,105,1,1,551.0,325.09,0.0,551.0,0.0,551.0,325.09,225.91000000000003
106,20250803,18,29,10,106,1,1,500.0,215.0,0.0,500.0,0.0,500.0,215.0,285.0
107,20251112,15,59,11,107,1,1,145.0,75.4,0.0,145.0,0.0,145.0,75.4,69.6
108,20250516,16,67,7,108,1,1,669.0,354.57,0.0,669.0,0.0,669.0,354.57,314.43
109,20251225,17,23,17,109,1,1,622.0,366.97999999999996,0.0,622.0,0.0,622.0,366.97999999999996,255.02000000000004
110,20250923,13,32,17,110,1,1,334.0,220.44,0.0,334.0,0.0,334.0,220.44,113.56
111,20250822,14,92,4,111,1,1,534.0,309.71999999999997,0.0,534.0,0.0,534.0,309.71999999999997,224.28000000000003
112,20250722,21,19,4,112,1,1,565.0,288.15,0.0,565.0,0.0,565.0,288.15,276.85
113,20250620,15,24,10,113,1,1,866.0,614.86,0.0,866.0,0.0,866.0,614.86,251.14
114,20251129,20,96,11,114,1,1,355.0,209.45,0.0,355.0,0.0,355.0,209.45,145.55
115,20251113,18,36,5,115,1,1,679.0,359.87,0.0,679.0,0.0,679.0,359.87,319.13
116,20250418,15,11,16,116,1,1,564.0,366.6,0.0,564.0,0.0,564.0,366.6,197.39999999999998
117,20250726,15,29,4,117,1,1,424.0,292.56,0.0,424.0,0.0,424.0,292.56,131.44
118,20250326,18,22,17,118,1,1,378.0,272.15999999999997,0.0,378.0,0.0,378.0,272.15999999999997,105.84000000000003
119,20250317,18,31,20,119,1,1,748.0,471.24,0.0,748.0,0.0,748.0,471.24,276.76
120,20250304,15,8,9,120,2,2,541.0,302.96000000000004,270.5,270.5,541.0,541.0,605.9200000000001,-64.92000000000007
121,20250707,12,41,16,121,1,1,675.0,263.25,0.0,675.0,0.0,675.0,263.25,411.75
122,20250127,14,34,14,122,1,2,405.0,287.55,0.0,405.0,0.0,810.0,575.1,234.89999999999998
123,20250731,20,36,12,123,1,1,549.0,356.85,0.0,549.0,0.0,549.0,356.85,192.14999999999998
124,20250731,18,16,19,124,1,2,565.0,344.65,0.0,565.0,0.0,1130.0,689.3,440.70000000000005
125,20251114,13,10,14,125,1,1,411.0,308.25,0.0,411.0,0.0,411.0,308.25,102.75
126,20250807,19,78,17,126,1,1,504.0,367.92,0.0,504.0,0.0,504.0,367.92,136.07999999999998
127,20250423,17,78,9,127,1,1,453.0,221.97,0.0,453.0,0.0,453.0,221.97,231.03
129,20251120,20,60,9,129,1,1,429.0,235.95000000000002,0.0,429.0,0.0,429.0,235.95000000000002,193.04999999999998
130,20250819,13,98,3,130,1,1,361.0,111.91,0.0,361.0,0.0,361.0,111.91,249.09
131,20251226,12,8,4,131,1,1,656.0,314.88,0.0,656.0,0.0,656.0,314.88,341.12
132,20250513,15,63,7,132,1,1,643.0,385.8,0.0,643.0,0.0,643.0,385.8,257.2
133,20250916,18,93,10,133,1,1,641.0,448.7,0.0,641.0,0.0,641.0,448.7,192.3
134,20250422,17,38,14,134,1,1,727.0,348.96,0.0,727.0,0.0,727.0,348.96,378.04
135,20250629,17,47,14,135,1,1,321.0,224.7,0.0,321.0,0.0,321.0,224.7,96.30000000000001
136,20250217,20,26,14,136,1,1,823.0,584.3299999999999,0.0,823.0,0.0,823.0,584.3299999999999,238.67000000000007
137,20251117,16,48,6,137,1,1,450.0,211.5,0.0,450.0,0.0,450.0,211.5,238.5
138,20251227,19,45,9,138,1,1,633.0,411.45,0.0,633.0,0.0,633.0,411.45,221.55
139,20250315,11,30,10,139,2,2,506.0,318.78000000000003,253.0,253.0,506.0,506.0,637.5600000000001,-131.56000000000006
140,20250309,19,66,11,140,1,1,247.0,121.03,0.0,247.0,0.0,247.0,121.03,125.97
141,20250206,14,5,9,141,1,1,485.0,300.7,0.0,485.0,0.0,485.0,300.7,184.3
142,20251010,18,99,20,142,3,2,364.0,178.35999999999999,182.0,182.0,364.0,364.0,356.71999999999997,7.28000000000003
143,20251010,19,80,17,143,1,1,355.0,173.95,0.0,355.0,0.0,355.0,173.95,181.05
144,20250313,18,95,13,144,1,1,425.0,276.25,0.0,425.0,0.0,425.0,276.25,148.75
145,20251229,17,87,13,145,1,1,570.0,387.6,0.0,570.0,0.0,570.0,387.6,182.39999999999998
146,20250811,17,96,14,146,1,1,412.0,259.56,0.0,412.0,0.0,412.0,259.56,152.44
147,20250226,19,28,12,147,1,1,515.0,262.65,0.0,515.0,0.0,515.0,262.65,252.35000000000002
148,20250608,16,35,14,148,1,1,319.0,172.26000000000002,0.0,319.0,0.0,319.0,172.26000000000002,146.73999999999998
149,20250117,14,10,4,149,1,1,474.0,232.26,0.0,474.0,0.0,474.0,232.26,241.74
150,20250825,17,61,15,150,1,2,334.0,170.34,0.0,334.0,0.0,668.0,340.68,327.32
151,20250930,17,9,7,151,1,1,511.0,393.47,0.0,511.0,0.0,511.0,393.47,117.52999999999997
152,20250909,13,58,13,152,1,1,524.0,366.79999999999995,0.0,524.0,0.0,524.0,366.79999999999995,157.20000000000005
153,20251122,17,91,1,153,1,2,451.0,293.15000000000003,0.0,451.0,0.0,902.0,586.3000000000001,315.69999999999993
154,20250217,17,50,4,154,1,1,708.0,453.12,0.0,708.0,0.0,708.0,453.12,254.88
155,20251008,14,5,9,155,1,1,472.0,335.12,0.0,472.0,0.0,472.0,335.12,136.88
156,20251230,18,99,2,156,3,2,346.0,204.14,173.0,173.0,346.0,346.0,408.28,-62.27999999999997
157,20251210,19,57,17,157,1,1,760.0,440.79999999999995,0.0,760.0,0.0,760.0,440.79999999999995,319.20000000000005
158,20251018,15,15,9,158,1,1,394.0,220.64000000000001,0.0,394.0,0.0,394.0,220.64000000000001,173.35999999999999
159,20251120,20,16,10,159,1,1,451.0,261.58,0.0,451.0,0.0,451.0,261.58,189.42000000000002
160,20250903,21,26,6,160,1,1,487.0,277.59,0.0,487.0,0.0,487.0,277.59,209.41000000000003
161,20251109,18,89,14,161,1,1,543.0,271.5,0.0,543.0,0.0,543.0,271.5,271.5
163,20250212,15,62,4,163,1,1,415.0,249.0,0.0,415.0,0.0,415.0,249.0,166.0
164,20251017,13,12,18,164,1,1,738.0,442.8,0.0,738.0,0.0,738.0,442.8,295.2
165,20250307,15,67,9,165,1,1,453.0,371.46,0.0,453.0,0.0,453.0,371.46,81.54000000000002
166,20250727,21,85,11,166,1,1,436.0,257.24,0.0,436.0,0.0,436.0,257.24,178.76
167,20250414,12,56,9,167,1,1,504.0,292.32,0.0,504.0,0.0,504.0,292.32,211.68
168,20250117,20,4,3,168,1,1,350.0,206.5,0.0,350.0,0.0,350.0,206.5,143.5
169,20251006,18,6,11,169,1,1,594.0,350.46,0.0,594.0,0.0,594.0,350.46,243.54000000000002
170,20251112,19,19,3,170,1,1,407.0,248.26999999999998,0.0,407.0,0.0,407.0,248.26999999999998,158.73000000000002
171,20251023,12,46,14,171,1,1,478.0,334.59999999999997,0.0,478.0,0.0,478.0,334.59999999999997,143.40000000000003
172,20250417,18,16,11,172,1,1,542.0,411.92,0.0,542.0,0.0,542.0,411.92,130.07999999999998
173,20250110,14,99,16,173,1,1,761.0,448.98999999999995,0.0,761.0,0.0,761.0,448.98999999999995,312.01000000000005
174,20250701,18,15,1,174,1,1,426.0,319.5,0.0,426.0,0.0,426.0,319.5,106.5
175,20250717,19,48,13,175,2,2,428.0,226.84,214.0,214.0,428.0,428.0,453.68,-25.680000000000007
176,20250825,18,45,20,176,1,1,474.0,279.65999999999997,0.0,474.0,0.0,474.0,279.65999999999997,194.34000000000003
177,20251217,17,96,11,177,3,2,704.0,464.64000000000004,352.0,352.0,704.0,704.0,929.2800000000001,-225.2800000000001
178,20250903,20,4,12,178,1,1,687.0,343.5,0.0,687.0,0.0,687.0,343.5,343.5
179,20251211,14,72,17,179,1,1,580.0,377.0,0.0,580.0,0.0,580.0,377.0,203.0
180,20250917,14,7,17,180,1,1,111.0,57.72,0.0,111.0,0.0,111.0,57.72,53.28
181,20250801,20,94,11,181,5,1,492.0,329.64000000000004,50.0,442.0,50.0,442.0,329.64000000000004,112.35999999999996
182,20250406,12,6,12,182,2,2,558.0,340.38,279.0,279.0,558.0,558.0,680.76,-122.75999999999999
183,20250215,16,3,12,183,1,1,384.0,211.20000000000002,0.0,384.0,0.0,384.0,211.20000000000002,172.79999999999998
184,20250517,16,26,4,184,1,1,426.0,217.26,0.0,426.0,0.0,426.0,217.26,208.74
185,20250126,20,24,20,185,1,1,146.0,99.28,0.0,146.0,0.0,146.0,99.28,46.72
186,20250303,16,37,8,186,1,1,287.0,183.68,0.0,287.0,0.0,287.0,183.68,103.32
187,20250812,17,69,19,187,1,1,449.0,345.73,0.0,449.0,0.0,449.0,345.73,103.26999999999998
188,20251111,17,86,17,188,1,1,411.0,189.06,0.0,411.0,0.0,411.0,189.06,221.94
189,20250906,17,58,6,189,1,1,525.0,351.75,0.0,525.0,0.0,525.0,351.75,173.25
190,20251122,17,21,17,190,1,1,490.0,230.29999999999998,0.0,490.0,0.0,490.0,230.29999999999998,259.70000000000005
191,20250830,17,24,1,191,1,1,898.0,493.90000000000003,0.0,898.0,0.0,898.0,493.90000000000003,404.09999999999997
192,20251229,17,4,11,192,1,1,524.0,251.51999999999998,0.0,524.0,0.0,524.0,251.51999999999998,272.48
193,20250510,16,56,20,193,1,1,734.0,513.8,0.0,734.0,0.0,734.0,513.8,220.20000000000005
194,20250520,16,63,16,194,1,1,581.0,290.5,0.0,581.0,0.0,581.0,290.5,290.5
195,20250514,20,96,17,195,1,1,410.0,229.60000000000002,0.0,410.0,0.0,410.0,229.60000000000002,180.39999999999998
196,20250513,21,97,7,196,1,1,436.0,287.76,0.0,436.0,0.0,436.0,287.76,148.24
197,20251212,14,9,3,197,1,1,629.0,314.5,0.0,629.0,0.0,629.0,314.5,314.5
198,20251204,20,86,12,198,1,1,370.0,251.60000000000002,0.0,370.0,0.0,370.0,251.60000000000002,118.39999999999998
199,20250610,11,98,5,199,5,1,449.0,296.34000000000003,50.0,399.0,50.0,399.0,296.34000000000003,102.65999999999997
200,20250805,15,22,4,200,1,1,602.0,361.2,0.0,602.0,0.0,602.0,361.2,240.8
202,20250809,14,85,3,202,1,1,578.0,352.58,0.0,578.0,0.0,578.0,352.58,225.42000000000002
203,20250622,18,35,8,203,6,1,546.0,376.73999999999995,50.0,496.0,50.0,496.0,376.73999999999995,119.26000000000005
205,20250611,18,96,20,205,1,2,683.0,341.5,0.0,683.0,0.0,1366.0,683.0,683.0
206,20251005,17,23,13,206,1,1,779.0,467.4,0.0,779.0,0.0,779.0,467.4,311.6
207,20250201,11,29,10,207,1,1,462.0,300.3,0.0,462.0,0.0,462.0,300.3,161.7
208,20250913,17,92,12,208,5,1,498.0,333.66,50.0,448.0,50.0,448.0,333.66,114.33999999999997
209,20250418,17,21,10,209,1,1,295.0,159.3,0.0,295.0,0.0,295.0,159.3,135.7
210,20250319,19,58,4,210,1,1,495.0,292.05,0.0,495.0,0.0,495.0,292.05,202.95
211,20250714,16,39,17,211,1,3,598.0,376.74,0.0,598.0,0.0,1794.0,1130.22,663.78
212,20250329,19,65,4,212,1,1,476.0,361.76,0.0,476.0,0.0,476.0,361.76,114.24000000000001
213,20250628,16,44,14,213,1,1,384.0,230.39999999999998,0.0,384.0,0.0,384.0,230.39999999999998,153.60000000000002
214,20251022,18,93,12,214,1,1,633.0,310.17,0.0,633.0,0.0,633.0,310.17,322.83
215,20250530,19,19,14,215,5,2,508.0,335.28000000000003,50.0,458.0,100.0,916.0,670.5600000000001,245.43999999999994
216,20250524,14,18,20,216,1,1,768.0,537.5999999999999,0.0,768.0,0.0,768.0,537.5999999999999,230.4000000000001
217,20250905,21,81,1,217,1,1,273.0,139.23,0.0,273.0,0.0,273.0,139.23,133.77
218,20250228,17,29,9,218,1,1,467.0,284.87,0.0,467.0,0.0,467.0,284.87,182.13
219,20250614,17,87,14,219,1,1,356.0,181.56,0.0,356.0,0.0,356.0,181.56,174.44
220,20251019,21,14,9,220,1,1,215.0,148.35,0.0,215.0,0.0,215.0,148.35,66.65
221,20250625,17,14,7,221,1,2,503.0,347.07,0.0,503.0,0.0,1006.0,694.14,311.86
222,20250903,17,69,16,222,1,1,673.0,383.60999999999996,0.0,673.0,0.0,673.0,383.60999999999996,289.39000000000004
223,20250503,14,24,11,223,1,1,525.0,351.75,0.0,525.0,0.0,525.0,351.75,173.25
224,20251206,14,10,14,224,1,1,453.0,244.62,0.0,453.0,0.0,453.0,244.62,208.38
225,20250303,19,18,14,225,1,1,592.0,301.92,0.0,592.0,0.0,592.0,301.92,290.08
226,20250126,17,65,18,226,1,2,632.0,391.84,0.0,632.0,0.0,1264.0,783.68,480.32000000000005
227,20250702,18,22,17,227,1,1,274.0,137.0,0.0,274.0,0.0,274.0,137.0,137.0
228,20250921,18,56,11,228,1,1,375.0,191.25,0.0,375.0,0.0,375.0,191.25,183.75
229,20251229,18,25,17,229,1,1,500.0,230.0,0.0,500.0,0.0,500.0,230.0,270.0
230,20250809,15,46,10,230,1,2,539.0,312.62,0.0,539.0,0.0,1078.0,625.24,452.76
231,20250930,20,77,2,231,1,1,675.0,317.25,0.0,675.0,0.0,675.0,317.25,357.75
232,20250703,16,69,20,232,1,1,318.0,241.68,0.0,318.0,0.0,318.0,241.68,76.32
233,20250731,14,66,18,233,1,1,595.0,380.8,0.0,595.0,0.0,595.0,380.8,214.2
234,20250820,20,5,10,234,1,1,565.0,248.6,0.0,565.0,0.0,565.0,248.6,316.4
235,20250427,20,54,9,235,1,1,517.0,330.88,0.0,517.0,0.0,517.0,330.88,186.12
236,20250924,13,58,2,236,3,2,437.0,262.2,218.5,218.5,437.0,437.0,524.4,-87.39999999999998
237,20251015,20,93,5,237,1,1,600.0,408.00000000000006,0.0,600.0,0.0,600.0,408.00000000000006,191.99999999999994
238,20250722,18,56,17,238,1,1,387.0,239.94,0.0,387.0,0.0,387.0,239.94,147.06
239,20250328,15,27,9,239,4,2,401.0,256.64,200.5,200.5,401.0,401.0,513.28,-112.27999999999997
240,20251124,17,78,20,240,1,1,498.0,253.98000000000002,0.0,498.0,0.0,498.0,253.98000000000002,244.01999999999998
241,20251022,20,69,1,241,1,1,384.0,226.56,0.0,384.0,0.0,384.0,226.56,157.44
242,20250311,14,99,16,242,1,1,398.0,234.82,0.0,398.0,0.0,398.0,234.82,163.18
243,20251215,18,37,17,243,1,1,272.0,182.24,0.0,272.0,0.0,272.0,182.24,89.75999999999999
244,20250628,14,5,14,244,1,1,383.0,218.30999999999997,0.0,383.0,0.0,383.0,218.30999999999997,164.69000000000003
245,20250316,13,47,3,245,1,1,544.0,255.67999999999998,0.0,544.0,0.0,544.0,255.67999999999998,288.32000000000005
246,20250601,21,57,9,246,1,1,414.0,252.54,0.0,414.0,0.0,414.0,252.54,161.46
247,20250322,21,79,9,247,6,1,471.0,254.34,50.0,421.0,50.0,421.0,254.34,166.66
248,20250817,18,33,11,248,1,1,559.0,318.63,0.0,559.0,0.0,559.0,318.63,240.37
249,20250218,19,16,13,249,1,1,459.0,330.47999999999996,0.0,459.0,0.0,459.0,330.47999999999996,128.52000000000004
250,20250411,16,76,20,250,1,1,718.0,445.16,0.0,718.0,0.0,718.0,445.16,272.84
251,20251123,16,23,6,251,1,1,496.0,342.23999999999995,0.0,496.0,0.0,496.0,342.23999999999995,153.76000000000005
252,20251025,18,13,19,252,4,2,681.0,435.84000000000003,340.5,340.5,681.0,681.0,871.6800000000001,-190.68000000000006
253,20250819,19,11,17,253,1,1,521.0,364.7,0.0,521.0,0.0,521.0,364.7,156.3
254,20250120,18,39,17,254,1,1,673.0,309.58000000000004,0.0,673.0,0.0,673.0,309.58000000000004,363.41999999999996
255,20250728,17,77,6,255,1,2,451.0,211.97,0.0,451.0,0.0,902.0,423.94,478.06
256,20250114,18,56,16,256,3,2,840.0,680.4000000000001,420.0,420.0,840.0,840.0,1360.8000000000002,-520.8000000000002
257,20250702,16,68,16,257,1,1,778.0,505.70000000000005,0.0,778.0,0.0,778.0,505.70000000000005,272.29999999999995
258,20250604,19,99,16,258,1,1,584.0,292.0,0.0,584.0,0.0,584.0,292.0,292.0
259,20250613,20,3,3,259,4,2,427.0,341.6,213.5,213.5,427.0,427.0,683.2,-256.20000000000005
260,20250219,19,94,14,260,3,2,609.0,359.31,304.5,304.5,609.0,609.0,718.62,-109.62
261,20250930,15,93,12,261,1,1,652.0,469.44,0.0,652.0,0.0,652.0,469.44,182.56
262,20250611,16,42,11,262,1,1,748.0,396.44,0.0,748.0,0.0,748.0,396.44,351.56
